Farm,Management,Block,Age,Cup Code,week,Dry Dirt Weight (g),Water Weight (g),Water Content (%/g),Soil Core Weight (g),Soil Core Volume (cm^3),Soil Density (Weight/Volume),Volume of water (cm^3),Soil cup volume (cm^3) (Weight (g)/ Soil density),% soil moisture (volume of water/volume of soil)
mybrother,scraped,6,15,,1,,,,,,,,,0.204
mybrother,unmanaged,1,15,,2,,,,,,,,,0.209
mybrother,flailed,1,15,,2,,,,,,,,,0.197
mybrother,scraped,1,15,,2,,,,,,,,,0.207
mybrother,unmanaged,2,15,,2,,,,,,,,,0.228
mybrother,flailed,2,15,,2,,,,,,,,,0.2
mybrother,scraped,2,15,,2,,,,,,,,,0.209
mybrother,unmanaged,3,15,,2,,,,,,,,,0.2
mybrother,flailed,3,15,,2,,,,,,,,,0.185
mybrother,scraped,3,15,,2,,,,,,,,,0.189
mybrother,unmanaged,4,15,,2,,,,,,,,,0.222
mybrother,flailed,4,15,,2,,,,,,,,,0.208
mybrother,scraped,4,15,,2,,,,,,,,,0.198
mybrother,unmanaged,5,15,,2,,,,,,,,,0.237
mybrother,flailed,5,15,,2,,,,,,,,,0.2
mybrother,scraped,5,15,,2,,,,,,,,,0.193
mybrother,unmanaged,6,15,,2,,,,,,,,,0.178
mybrother,flailed,6,15,,2,,,,,,,,,0.18
mybrother,scraped,6,15,,2,,,,,,,,,0.198
mybrother,unmanaged,1,15,,3,,,,,,,,,0.142
mybrother,flailed,1,15,,3,,,,,,,,,0.164
mybrother,scraped,1,15,,3,,,,,,,,,0.132
mybrother,unmanaged,2,15,,3,,,,,,,,,0.183
mybrother,flailed,2,15,,3,,,,,,,,,0.128
mybrother,scraped,2,15,,3,,,,,,,,,0.144
mybrother,unmanaged,3,15,,3,,,,,,,,,0.149
mybrother,flailed,3,15,,3,,,,,,,,,0.116
mybrother,scraped,3,15,,3,,,,,,,,,0.112
mybrother,unmanaged,4,15,,3,,,,,,,,,0.191
mybrother,flailed,4,15,,3,,,,,,,,,0.116
mybrother,scraped,4,15,,3,,,,,,,,,0.118
mybrother,unmanaged,5,15,,3,,,,,,,,,0.159
mybrother,flailed,5,15,,3,,,,,,,,,0.119
mybrother,scraped,5,15,,3,,,,,,,,,0.144
mybrother,unmanaged,6,15,,3,,,,,,,,,0.144
mybrother,flailed,6,15,,3,,,,,,,,,0.123
mybrother,scraped,6,15,,3,,,,,,,,,0.145
